Metric ID,Group,Metrics Category,Type,Metric,Definition / Description,Formula,Numerator,Denominator,Reporting,Answers,Indicators,Benchmark,Tools,Commentary / Interpretation,Data Source - Object,Data Source - Field,Data Store - Object,Data Store - Field,Time Rule,Logic,Tags,Notes
1.01,Culture & Engagement,Experience,Rate,Work Schedule Flexibility Rate (%of Workforce),Employees with a flexible work schedule as a percentage of total employees.,(End of Period Headcount.Flexible Work Schedule) / End of Period Headcount) *100,End of Period Headcount.Flexible Work Schedule,End of Period Headcount,Retention Modeling | Engagement Correlation | Productivity Impact | Turnover Risk Forecasting,"Are employees with flexible schedules more engaged, committed, satisfied, productive or have higher retention? Are there patterns that separate them from nonflexible workers?",,,,A result of 10 indicates that 10% of the workforce participates in a flexible work arrangement and may not work the standard operating hours of the organization. | Compare productivity & engagement,HRIS — Employee Snapshot,,,, Last 4 completed quarters ,AVG score; normalize to 0–100 scale,Workforce Planning,
3.04,Learning & Development,Experience,Score,Training Quality Score,A relative measure of the effectiveness of training courses.,Survey,Survey,Survey,Culture Dashboard,Assess perceived effectiveness of training programs to inform L&D investment decisions.,,,Listening A[i]gent,"Training Quality presents a gauge of the effectiveness of training. While individual organizations may use various survey instruments to assess Training Quality, a commonly used approach is that developed by Donald Kirkpatrick in the late 1950s. Under the Kirkpatrick approach, Training Quality may be assessed at any of four progressive levels. Survey instruments, assessments, tests, and other tools may be used to develop an index for Training Quality at any or all of these levels for various training courses. Level One: Reaction—Measures trainees’ satisfaction with aspects of the training program, including topic, speaker, schedule, etc. Level Two: Learning—Measures the knowledge trainees acquire during the program, including skills improved, attitudes changed, etc. Level Three: Behavior—Measures the extent to which participants change their behavior on the job as a result of knowledge they acquire during training. Level Four: Results—Measures the results of training programs, including higher productivity, improved quality, increased sales, larger profits, reduced turnover, and reduced costs.",HRIS – Training,Training effectiveness item(s) , survey_responses , training_quality_score , Last 4 completed quarters ," Normalize Likert scale to 0–100 |  Composite index 	 Optional alignment with Kirkpatrick level classification ","learning, development, Learning Effectiveness", Can be segmented by program or delivery channel.
1.07,Culture & Engagement,Experience,Index,Employee Committment Index,Relative measure of employee's commitment to the organization,Survey,Survey,Survey,Culture Dashboard,Assess psychological attachment to the organization to predict voluntary turnover risk.,,,Listening A[i]gent,"Organizations typically measure employee commitment using survey results. Each survey will likely have a different set of questions or methodologies for measuring employee commitment. An Employee Commitment Index measures an employee’s attachment and commitment to the firm or corporation. It is based on a number of survey questions that measure employees’ commitment, such as their desire to spend their career with the firm and their views on the firm as a great place to work. Commitment is distinct from employee engagement, which measures the effort and enthusiasm employees put into their daily work. employee commitment for purposes of predicting employee turnover and/or as a tool for analytically deriving the reasons for low commitment so they can be addressed before they lead to turnover issues.",Survey,Commitment scale item(s) , survey_responses , commitment_index , Last 4 completed quarters ," Normalize scale to 0–100  Reverse-score negatively worded items 	 Composite index 	 Minimum response threshold 	","engagement, sentiment,  Survey, Commitment, Employee Turnover, Employee Satisfaction 	 ","Leading indicator of voluntary attrition risk.		"
4.46,Talent Acquisition,Intelligence,Rate,Pass-through Rate: Applicants --> Interview,Percentage of applicants that are interviewed during a period (any interview).,%app_to_interview_rate = count(applicants_interviewed) / count(applicants) * 100,Distinct applicants who have ≥ 1 interview (any interview type) completed.,Distinct applicants (applications submitted).,Workforce Planning | TA Reviews | Exec Review | Pipeline Dashboard,"Balance between interviewing ""enough"" candidates to provide a sufficient sampling of the qualified candidate pool and straining the recruiting process by interviewing an excessive number of candidates.","Indicates screening resources needed, informs sourcing needs, sets expectations for time-to-fill",,Screening A[i]gent | Pipeline Health A[i]gent | ,A result of 20% means that 20% of all applicants are interviewed.,ATS — Candidate Pipeline,,,,Event Date Within Period,"“Any interview” = first occurrence of an interview event after application (phone screen, recruiter screen, HM screen, panel, etc.). | Count distinct applicants, not number of interviews. | Decide whether the interview event is based on scheduled (recommended) vs completed (stricter). | Exclude duplicates/merged profiles; one applicant counts once.","CNVR, Capacity",Equivalent to App→Interview pass-through.
4.55,Talent Acquisition,Operations,Value,Interviews per Recruiter,Number of completed interviews per recruiter or per FTE per week.,Completed Interviews / Recruiter FTE,#Completed Interviews,#Recruiter (FTE),Recruiting Process Intelligence,Capacity,,,,,,,,,,,Talent,
4.03,Talent Acquisition,Intelligence,Distribution,Recruitment Source Breakdown (%of Total),"Distribution of external hires by recruitment source, including referral, rehire, agency, etc.",(External Hires.[Source Group] / External Hires ) *100,External Hires.[Source Group],External Hires ,,"Determining the % of hiring by source. For one reason or another the organization may wish to tilt recruitment toward particular sources. Reasons may include reducing recruitment expenses, increasing hiring quality, increasing retention rates, etc.",,,,,ATS — Candidate Pipeline,,,,Event Date Within Period,COUNT distinct candidate_id; exclude withdrawn/duplicate; stage-based aggregation where applicable,"recruiting, pipeline, hiring","reducing recruitment expenses, increasing hiring quality, increasing retention rates, etc."
3.01,Learning & Development,Intelligence,Rate,Development Program Penetration Rate,Percentage of eligible employees participating in development programs.,(Development Program Participants / End of Period Headcount.Eligible for Development Programs) * 100,#Development Program Participants,E#nd of Period Headcount.Eligible for Development Programs,,Development Program Participation %,,,,"Such programs may relate to developing supervisory skills, acquiring multifunctional skills through rotations, participating in mentoring or networking, or other developmental activities. This measure provides an organization with a report of how extensively the eligible workforce participates in such programs.",HRIS – Training,,,,Event Date Within Period,COUNT completions; AVG hours per employee,"learning, development",
4.49,Talent Acquisition,Governance,Index,Interviewer Severity Index,Measures how strict or lenient an interviewer is relative to peer interviewers within similar candidate pools.,(Interviewer Avg Score - Req Avg Score) / Req Score Std Dev,Interviewer Avg Score - Req Avg Score,Req Score Std Dev,Decision integrity Dashboard,"Drift Detection, Process Stability",,,Screening A[i]gent,Positive index → more lenient | Negative index → more severe | Persistent deviation signals calibration need.,,,,,,,Decision Integrity,
4.53,Talent Acquisition,Governance,Index,Stage Conversion Variance,"Variance in stage pass-through rates across recruiters, teams, or time periods.",Std Dev (Stage Conversion Rate by Cohort),Std Dev (Stage Conversion Rate by Cohort),Std Dev (Stage Conversion Rate by Cohort),Process Monitoring,"Drift Detection, Process Stability",,,Screening A[i]gent | Pipeline Health A[i]gent | ,,,,,,,,,
5.29,Talent Management,Intelligence,Rate,Retention Rate,Percentage of all headcount during the period that did not terminate.,(Start of Period Headcount + External Hires - Terminations) / (Start of Period Headcount + External Hires) * 100,Start of Period Headcount + External Hires - Terminations,Start of Period Headcount + External Hires,,"Employee retention for purposes of workforce planning that may include talent development, productivity, or cost reduction.",,,,"Retention Rate for a specified period measures the percentage of all employees present at any point during the period that are still with the organization at the end of the period. In a yearly view, this measure answers the question, “What percentage of all the people that have walked through our doors this year are still here?” A result of 80% indicates that 80% of employees that were with the organization at the start of the period or were hired during the period are still employed at the end of the period",HRIS — Employee Snapshot,,,,,COUNT active employees; filter employment status,"workforce, headcount, planning",
6.01,Total Rewards,Experience,Index,Benefits Satisfaction Index,A relative measure of employees’ satisfaction with the benefits provided by the organization.,Survey,Survey,Survey,Culture Dashboard,Employee satisfaction with benefits programs to monitor competitiveness and retention risk.,Employee Satisfaction,,Listening A[i]gent,"Benefits Satisfaction Index is a measure of employees’ overall satisfaction with benefits, such as medical insurance, dental insurance, disability insurance, child care, commuting, concierge, tuition reimbursement, or other benefit programs. Variations of this measure may present the results of individual survey questions (e.g., percentage of workforce rating medical benefits as “excellent”) or other subindexes of this overall satisfaction indicator.",Survey,Benefits satisfaction item(s),survey_responses,benefits_satisfaction_score,Last 4 completed quarters,Normalize Likert scale to 0–100 | Reverse-score if needed | Average across benefits items | Require minimum response threshold,"Survey, Rewards, Retention Risk",
4.28,Talent Acquisition,Intelligence,Rate,New Hire Turnover Contribution Rate (%Terminations) ,Terminations of short-tenure employees as a percentage of total terminations during the reporting period.,(Terminations.Short Tenure / Terminations) * 100,#Terminations.Short Tenure ,#Terminations,,Employee turnover analysis,,,,"New Hire Turnover Contribution measures the percentage of terminations that come from “short-tenure” employees. While this measure does not indicate whether turnover among short-tenure employees is high or low, it does indicate the extent to which the turnover experienced by the organization comes from short-tenure employees. A result of 30% means that 30% of all terminations were of employees with short tenure.",ATS — Candidate Pipeline,,,,Event Date Within Period,COUNT distinct candidate_id; exclude withdrawn/duplicate; stage-based aggregation where applicable,"recruiting, pipeline, hiring",
5.26,Talent Management,Intelligence,Distribution,Termination Reason Breakdown,Distribution of terminations during a reporting period by type of termination.,(Terminations.[Termination Reason] / Terminations) * 100,Terminations.[Termination Reason],#Terminations,,Employee turnover analysis,,,,"Termination Reason Breakdown measures the composition of terminations by type of termination, including voluntary and involuntary termination reasons. Graphically, the data are presented as a percentage of the total terminations, i.e., a stacked bar graph of voluntary and involuntary terminations.",HRIS — Employee Snapshot,,,,,COUNT active employees; filter employment status,"workforce, headcount, planning",
5.27,Talent Management,Intelligence,Rate,Termination Rate (%Avg Headcount),Terminations during the reporting period as a percentage of average headcount.,(Terminations / Average Headcount) *100,#Terminations,Average Headcount,,"Employee turnover for purposes of workforce planning that may include talent management, productivity, or cost reduction.",,,,"Termination Rate measures the percentage of employees who left the Organization during the reporting period. It reflects the total employee turnover within the organization, including both voluntary and involuntary separation reasons. For example, a result of 20% indicates that terminations equated to 20% of the average size of the workforce. A result of greater than 100% indicates that terminations exceeded the average size of the workforce during the period.",HRIS — Employee Snapshot,,,,,COUNT active employees; filter employment status,"workforce, headcount, planning",
5.28,Talent Management,Intelligence,Distribution,Termination Breakdown by Performance Rating,Distribution of terminations during a reporting period by performance rating of terminating employees.,(Terminations.[Performance Rating] / Average Headcount.[Performance Rating]) *100,Terminations.[Performance Rating],Average Headcount.[Performance Rating],,"Employee turnover for purposes of workforce planning that may include talent management, productivity, or cost reduction.",,,,Termination Breakdown by Performance Rating indicates the percentage of employees who left from each performance group. For example. If the organization has 100 high performers and 10 high performers leave then the High Performer Turnover Rate = 10%. This does not mean that 10% of those who terminated are High Performers.,HRIS — Employee Snapshot,,,,,COUNT active employees; filter employment status,"workforce, headcount, planning",
4.02,Talent Acquisition,Intelligence,Ratio,Recruitment Source Ratio (Internal vs External),Number of internal hires for every external hire.,Internal Hires / External Hires,Internal Hires,External Hires ,,"For one reason or another the organization may wish to tilt recruitment toward hiring internally or externally or may have a specific ratio in mind. Reasons include reducing recruitment expenses, increasing hiring quality, increasing retention rates, increasing internal development opportunities, etc.",,,,"A recruitment ratio of four means that the organization has made four internal placements to vacant positions for every one external hire. Internal hires are often calculated to include all internal movements, such as transfers, promotions, and demotions.",ATS — Candidate Pipeline,,,,Event Date Within Period,COUNT distinct candidate_id; exclude withdrawn/duplicate; stage-based aggregation where applicable,"recruiting, pipeline, hiring","reducing recruitment expenses, increasing hiring quality, increasing retention rates, increasing internal development opportunities, etc."
1.05,Culture & Engagement,Experience,Index,Market Opportunity Index,Relative measure of employees' perceptions of labor market opportunities outside the organization.,Survey,Survey,Survey,,Gauge perceived external job opportunities as an external driver of turnover risk.,,,Listening A[i]gent,"Organizations typically measure perceived external market opportunity for employees using survey results. Each survey will likely have a different set of questions or methodologies for measuring this dimension. The Market Opportunity Index measures employee perceptions of external job opportunities. In effect, it assesses whether employees perceive a new job would be easy or difficult to find. The metric is a proxy for the pull of a “tight” labor market, and it represents an exogenous factor—external opportunities—that the firm cannot control. Low results for Market Opportunity Index are likely to negatively impact employees’ commitment and likelihood to stay with the organization. Organizations can study undesirable results further to understand whether it can improve its standing among external market opportunities in employees’ eyes, if those employees are at risk of departing for external opportunities. employee perceptions of external opportunities for purposes of predicting employee turnover and/or as a tool for analytically deriving the reasons for low commitment so they can be addressed before they lead to turnover issues.",Survey,External opportunity perception item(s) , survey_responses , market_opportunity_index , Last 4 completed quarters ," Normalize to 0–100  Reverse-score if needed 	 Composite index 	 ","engagement, sentiment, Survey, Employee Turnover, External Threat 	 ",Represents exogenous labor market pull pressure.
4.64,Talent Acquisition,Intelligence,Forecast,Source Effectiveness Forecast,Predicted future performance yield by recruiting source.,Predicted Hires by Source = Candidates by Source × Stage Conversion Rates × Offer Acceptance Rate,Predicted Hires by Source = Candidates by Source × Stage Conversion Rates × Offer Acceptance Rate,Predicted Hires by Source = Candidates by Source × Stage Conversion Rates × Offer Acceptance Rate,Recruiting Strategy Intelligence,"Given current pipeline patterns, how many successful hires will this source likely produce?",,,,Expected Hires from Source = Candidates from Source × Historical Hire Conversion Rate,,,,,,,Talent,
4.37,Talent Acquisition,Experience,Score,New Hire Performance Satisfaction Score,How well recent hires are performing within their positions.,Survey,Survey,Survey,,Hiring effectiveness through manager-rated performance of recent hires.,,,Listening A[i]gent,New Hire Performance Satisfaction represents a survey index or set of questions posed to the managers of recent hires to determine the performance levels of those recent hires.,ATS — Candidate Pipeline,Manager-rated new hire performance item(s) , new_hire_feedback , new_hire_performance_score ,Event Date Within Period," Normalize manager rating scale to 0–100 |  Composite index 	 Minimum response threshold ","CNVR, recruiting, pipeline, hiring, Survey, Quality of Hire, Perf. Eval Staffing Effectiveness", Used to validate recruitment effectiveness.
